City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Dabola,GN,10.75,-11.1167,74.61,85,100,5.23,light rain
315,Vallenar,CL,-28.5708,-70.7581,57.83,67,20,2.35,few clouds
316,Biltine,TD,14.5333,20.9167,83.17,10,42,15.08,scattered clouds
317,Krasnoselkup,RU,65.7,82.4667,32.94,100,100,7.52,light snow
318,Alice Springs,AU,-23.7,133.8833,84.2,20,15,6.91,few clouds
319,Rocha,UY,-34.4833,-54.3333,60.13,87,40,6.78,scattered clouds
320,Flinders,AU,-34.5833,150.8552,79.0,57,2,3.0,clear sky
321,Flagstaff,US,35.1981,-111.6513,57.0,26,75,10.36,broken clouds
322,Banff,CA,51.1762,-115.5698,39.2,70,74,8.05,broken clouds
323,Atikokan,CA,48.7555,-91.6216,48.65,66,98,9.73,overcast clouds
324,Liverpool,GB,53.4106,-2.9779,46.4,87,100,4.61,overcast clouds
325,Itoman,JP,26.1247,127.6694,75.2,53,75,10.36,broken clouds
326,Provideniya,RU,64.3833,-173.3,28.56,66,100,16.44,overcast clouds
327,Celestun,MX,20.8667,-90.4,82.63,70,79,11.45,broken clouds
328,San Pedro Del Parana,PY,-26.8333,-56.2,73.4,83,0,2.3,clear sky
329,Zhigansk,RU,66.7697,123.3711,34.61,99,100,6.67,overcast clouds
330,Quelimane,MZ,-17.8786,36.8883,69.8,94,75,6.91,light rain
331,Gat,IL,31.61,34.7642,72.0,45,0,4.61,clear sky
332,Teresina,BR,-5.0892,-42.8019,75.2,94,90,6.91,moderate rain
333,Grindavik,IS,63.8424,-22.4338,32.0,74,0,6.91,clear sky
334,Kununurra,AU,-15.7667,128.7333,93.2,27,2,16.11,clear sky
335,Hami,CN,42.8,93.45,60.44,9,0,13.62,clear sky
336,Cayenne,GF,4.9333,-52.3333,80.01,94,40,7.83,scattered clouds
337,Zyryanka,RU,65.75,150.85,38.28,72,21,11.21,few clouds
338,San Quintin,MX,30.4833,-115.95,58.44,78,28,14.25,scattered clouds
339,Portland,US,45.5234,-122.6762,57.99,46,68,5.59,broken clouds
340,Palmer,US,42.1584,-72.3287,55.4,71,90,4.61,overcast clouds
341,Kaitangata,NZ,-46.2817,169.8464,59.0,63,32,10.0,scattered clouds
342,Kumluca,TR,36.3703,30.2869,77.65,40,76,3.22,broken clouds
343,Whithorn,JM,18.2604,-78.0378,78.8,78,20,4.61,few clouds
344,Estelle,US,29.8458,-90.1067,72.0,100,90,5.75,overcast clouds
345,Erdenet,MN,49.0333,104.0833,41.43,37,46,9.98,scattered clouds
